tournament,city,country,level_code,level,surface_default,tournament_key,tournament_name,country_id,surface,indoor,neutral_venue
's-Hertogenbosch,'s-Hertogenbosch,Netherlands,A,ATP Tour,Grass,?,?,NL,,,
Acapulco,Acapulco,Mexico,A,ATP Tour,Hard,?,?,MX,,,
Adelaide,Adelaide,Australia,A,ATP Tour,Hard,?,?,AU,,,
Almaty,Almaty,Kazakhstan,A,ATP Tour,Hard,?,?,KZ,,,
Antwerp,Antwerp,Belgium,A,ATP Tour,Hard,?,?,BE,,,
Athens,Athens,Greece,A,ATP Tour,Hard,?,?,GR,,,
Atlanta,Atlanta,United States,A,ATP Tour,Hard,?,?,US,,,
Auckland,Auckland,New Zealand,A,ATP Tour,Hard,?,?,NZ,,,
Barcelona,Barcelona,Spain,A,ATP Tour,Clay,?,?,ES,,,
Basel,Basel,Switzerland,A,ATP Tour,Hard,?,?,CH,,,
Bastad,Bastad,Sweden,A,ATP Tour,Clay,?,?,SE,,,
Beijing,Beijing,China,A,ATP Tour,Hard,?,?,CN,,,
Belgrade,Belgrade,Serbia,A,ATP Tour,Hard,?,?,RS,,,
Brisbane,Brisbane,Australia,A,ATP Tour,Hard,?,?,AU,,,
Brussels,Brussels,Belgium,A,ATP Tour,Hard,?,?,BE,,,
Bucharest,Bucharest,Romania,A,ATP Tour,Clay,?,?,RO,,,
Buenos Aires,Buenos Aires,Argentina,A,ATP Tour,Clay,?,?,AR,,,
Chengdu,Chengdu,China,A,ATP Tour,Hard,?,?,CN,,,
Cordoba,CÃ³rdoba,Argentina,A,ATP Tour,Clay,?,?,?,,,
Dallas,Dallas,United States,A,ATP Tour,Hard,?,?,US,,,
Delray Beach,Delray Beach,United States,A,ATP Tour,Hard,?,?,US,,,
Doha,Doha,Qatar,A,ATP Tour,Hard,?,?,QA,,,
Dubai,Dubai,United Arab Emirates,A,ATP Tour,Hard,?,?,AE,,,
Eastbourne,Eastbourne,United Kingdom,A,ATP Tour,Grass,?,?,GB,,,
Estoril,Estoril,Portugal,A,ATP Tour,Clay,?,?,PT,,,
Geneva,Geneva,Switzerland,A,ATP Tour,Clay,?,?,CH,,,
Gstaad,Gstaad,Switzerland,A,ATP Tour,Clay,?,?,CH,,,
Halle,Halle,Germany,A,ATP Tour,Grass,?,?,DE,,,
Hamburg,Hamburg,Germany,A,ATP Tour,Clay,?,?,DE,,,
Hangzhou,Hangzhou,China,A,ATP Tour,Hard,?,?,CN,,,
Hong Kong,Hong Kong,China,A,ATP Tour,Hard,?,?,CN,,,
Houston,Houston,United States,A,ATP Tour,Clay,?,?,US,,,
Kitzbuhel,Kitzbuhel,Austria,A,ATP Tour,Clay,?,?,AT,,,
Laver Cup,Laver Cup,Australia,A,ATP Tour,Hard,?,?,AU,,,
London,London,United Kingdom,A,ATP Tour,Grass,?,?,GB,,,
Los Cabos,Los Cabos,Mexico,A,ATP Tour,Hard,?,?,MX,,,
Lyon,Lyon,France,A,ATP Tour,Clay,?,?,FR,,,
Mallorca,Mallorca,Spain,A,ATP Tour,Grass,?,?,ES,,,
Marrakech,Marrakech,Morocco,A,ATP Tour,Clay,?,?,MA,,,
Marseille,Marseille,France,A,ATP Tour,Hard,?,?,FR,,,
Metz,Metz,France,A,ATP Tour,Hard,?,?,FR,,,
Montpellier,Montpellier,France,A,ATP Tour,Hard,?,?,FR,,,
Munich,Munich,Germany,A,ATP Tour,Clay,?,?,DE,,,
Newport,Newport,Wales,A,ATP Tour,Grass,?,?,GB,,,
Next Gen Finals,Next Gen Finals,Italy,A,ATP Tour,Hard,?,?,IT,,,
Queen's Club,London,United Kingdom,A,ATP Tour,Grass,?,?,GB,,,
Rio De Janeiro,Rio de Janeiro,Brazil,A,ATP Tour,Clay,?,?,BR,,,
Rotterdam,Rotterdam,Netherlands,A,ATP Tour,Hard,?,?,NL,,,
Santiago,Santiago,Chile,A,ATP Tour,Clay,?,?,CL,,,
Stockholm,Stockholm,Sweden,A,ATP Tour,Hard,?,?,SE,,,
Stuttgart,Stuttgart,Germany,A,ATP Tour,Grass,?,?,DE,,,
Tokyo,Tokyo,Japan,A,ATP Tour,Hard,?,?,JP,,,
Umag,Umag,Croatia,A,ATP Tour,Clay,?,?,HR,,,
United Cup,United Cup,England,A,ATP Tour,Hard,?,?,GB,,,
Vienna,Vienna,Austria,A,ATP Tour,Hard,?,?,AT,,,
Washington,"Washington, D.C.",United States,A,ATP Tour,Hard,?,?,US,,,
Winston-Salem,Winston-Salem,United States,A,ATP Tour,Hard,?,?,US,,,
Australian Open,Melbourne,Australia,G,Grand Slam,Hard,?,?,AU,,,
Roland Garros,Paris,France,G,Grand Slam,Clay,?,?,FR,,,
US Open,New York,United States,G,Grand Slam,Hard,?,?,US,,,
Wimbledon,London,United Kingdom,G,Grand Slam,Grass,?,?,GB,,,
Canada Masters,Canada Masters,Canada,M,Masters 1000,Hard,?,?,CA,,,
Cincinnati Masters,Cincinnati,United States,M,Masters 1000,Hard,?,?,US,,,
Indian Wells Masters,Indian Wells,United States,M,Masters 1000,Hard,?,?,US,,,
Madrid Masters,Madrid,Spain,M,Masters 1000,Clay,?,?,ES,,,
Miami Masters,Miami,United States,M,Masters 1000,Hard,?,?,US,,,
Monte Carlo Masters,Monte Carlo,Monaco,M,Masters 1000,Clay,?,?,MC,,,
Montreal Masters,Montreal,Monaco,M,Masters 1000,Hard,?,?,MC,,,
Paris Masters,Paris,France,M,Masters 1000,Hard,?,?,FR,,,
Rome Masters,Rome,Italy,M,Masters 1000,Clay,?,?,IT,,,
Shanghai Masters,Shanghai,China,M,Masters 1000,Hard,?,?,CN,,,
Paris Olympics,Paris,France,O,O,Clay,?,?,FR,,,
ATP Tour Finals,Turin,Italy,F,Tour Finals,Hard,?,?,IT,,,
Davis Cup Finals,,Neutral,,Teams,,,,N/A,,,1
